"x","P_X_igual","P_X_menor"
0,0.001,0.001
1,0.0027,0.0037
2,0.00486,0.00856
3,0.00729000000000001,0.01585
4,0.00984150000000001,0.0256915
5,0.01240029,0.03809179
6,0.014880348,0.0529721380000001
7,0.0172186884,0.0701908264000001
8,0.01937102445,0.0895618508500001
9,0.021308126895,0.110869977745
10,0.0230127770466,0.1338827547916
11,0.02447722649502,0.15835998128662
12,0.025701087819771,0.184061069106391
13,0.0266895911974545,0.210750660303846
14,0.0274521509459532,0.238202811249799
15,0.0280011939648722,0.266204005214671
16,0.0283512088894332,0.294555214104105
17,0.0285179807064298,0.323073194810534
18,0.0285179807064298,0.351591175516964
19,0.0283678860711328,0.379959061588097
20,0.0280842072104215,0.408043268798519
21,0.0276830042502726,0.435726273048791
22,0.0271796769002677,0.462905949949059
23,0.0265888143589575,0.489494764308017
24,0.0259240939999836,0.515418858308
25,0.025198219367984,0.540617077675984
26,0.0244228895412768,0.565039967217261
27,0.0236087932232343,0.588648760440495
28,0.0227656220366902,0.611414382477185
29,0.021902098442195,0.63331648091938
30,0.0210260145045072,0.654342495423887
31,0.0201442784123827,0.67448677383627
32,0.019262966231841,0.693749740068111
33,0.0183873768576664,0.712137116925777
34,0.0175220885349527,0.72965920546073
35,0.016671015663255,0.746330221123985
36,0.0158374648800922,0.762167686004077
37,0.0150241896565199,0.777191875660597
38,0.0142334428324926,0.79142531849309
39,0.0134670266799737,0.804892345173063
40,0.0127263402125752,0.817618685385639
41,0.0120124235665039,0.829631108952142
42,0.0113259993627037,0.840957108314846
43,0.0106675110276628,0.851624619342509
44,0.0100371581033009,0.86166177744581
45,0.00943492861710281,0.871096706062913
46,0.00886062861432264,0.879957334677235
47,0.00831390897641763,0.888271243653653
48,0.00779428966539153,0.896065533319045
49,0.0073011815437035,0.903366714862748
50,0.00683390592490647,0.910200620787654
